seed,noise,accuracy
42,0.0,0.84375
42,0.1,0.8055555555555556
42,0.2,0.6736111111111112
42,0.3,0.6006944444444444
42,0.4,0.5069444444444444
42,0.5,0.4340277777777778
42,0.6,0.3611111111111111
42,0.7,0.3263888888888889
42,0.8,0.2986111111111111
42,0.9,0.2881944444444444
42,1.0,0.2604166666666667
